APROFUNDAMENTO EM DANÇAS,
TÓPICOS EM PROCESSAMENTO DE IMAGENS,
ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,
TÓPICO ESPECIAL INTERDISCIPLINAR X,
EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,
GESTÃO ORGANIZACIONAL,
"LEGISLAÇÃO, ÉTICA PROFISSIONAL E CIDADANIA",
PESQUISA OPERACIONAL I,
SEGURANÇA NO TRABALHO,
SISTEMAS DE PRODUÇÃO,
BIOSSISTEMÁTICA,
METEOROLOGIA E CLIMATOLOGIA,
TÓPICOS ESPECIAIS EM CIÊNCIAS BIOLÓGICAS V,
MEDIÇÃO DE SOFTWARE, FACOM
DIREITO ELETRÔNICO,
FUNDAMENTOS EPISTEMOLÓGICOS E HISTÓRICOS: PSICOLOGIA COMPORTAMENTAL,
ANTROPOLOGIA,
EDUCAÇÃO ESPECIAL,
HISTÓRIA DO BRASIL I,
SEGURANÇA DO TRABALHO EM SISTEMA ELÉTRICOS,
CIRCUITOS ELÉTRICOS A,
DESENHO TÉCNICO,
MÉTODOS QUANTIFICÁVEIS A,
MÉTODOS QUANTIFICÁVEIS B,
TÉCNICAS DE MEDIDAS ELÉTRICAS,
TECNOLOGIA DE MATERIAIS ELÉTRICOS,
TERMODINÂMICA,
FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO, 
ENGENHARIA ECONÔMICA,
INTRODUÇÃO À ENGENHARIA DE PRODUÇÃO,
ARQUITETURA DE SOFTWARE, FACOM
ENGENHARIA DE SOFTWARE EXPERIMENTAL, FACOM
GERÊNCIA DE CONFIGURAÇÃO DE SOFTWARE, FACOM
IMPLEMENTAÇÃO ALGORÍTMICA, FACOM
INTRODUÇÃO À ENGENHARIA DE SOFTWARE, FACOM
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE", FACOM
PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE I, FACOM
PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE II, FACOM
MELHORIA DE PROCESSOS DE SOFTWARE, FACOM
COMPORTAMENTO HUMANO E ORGANIZACIONAL,
GESTÃO ESTRATÉGICA,
