Curso,Semestre,Disciplina,Total Alunos,Turno
Sistemas de Informação,2017/2,MÉTODOS QUANTIFICÁVEIS B,2,NOITE
Sistemas de Informação,2017/2,TÉCNICAS DE MEDIDAS ELÉTRICAS,2,NOITE
Sistemas de Informação,2017/1,TECNOLOGIA DE MATERIAIS ELÉTRICOS,1,NOITE
Sistemas de Informação,2017/2,TERMODINÂMICA,3,NOITE
Sistemas de Informação,2019/2,FÍSICA II,4,TARDE
Sistemas de Informação,2015/1,ENGENHARIA ECONÔMICA,1,NOITE
Sistemas de Informação,2019/1,FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE,3,NOITE
Sistemas de Informação,2018/1,FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE,1,NOITE
Sistemas de Informação,2021/1,QUÍMICA GERAL,5,
Sistemas de Informação,2015/1,GEOMETRIA DESCRITIVA,2,
Sistemas de Informação,2018/1,INTRODUÇÃO À ENGENHARIA DE PRODUÇÃO,1,TARDE
Sistemas de Informação,2015/2,LABORATÓRIO DE FÍSICA II,3,
Sistemas de Informação,2017/1,MECÂNICA GERAL,4,
Sistemas de Informação,2017/2,PLANEJAMENTO ESTRATÉGICO,1,NOITE
Sistemas de Informação,2019/1,ELETRICIDADE,1,NOITE
Sistemas de Informação,2022/2,SISTEMAS DISTRIBUÍDOS,1,NOITE
Sistemas de Informação,2017/2,BIOESTATÍSTICA,1,NOITE
Sistemas de Informação,2020/1,CIÊNCIAS DO AMBIENTE,1,TARDE
Sistemas de Informação,2017/1,ÉTICA E BIOÉTICA,4,MANHA
Sistemas de Informação,2017/1,FENÔMENOS E PROCESSOS PSICOLÓGICOS: ENFOQUE COMPORTAMENTAL II,2,
Sistemas de Informação,2017/1,GENÉTICA HUMANA,1,MANHA
Sistemas de Informação,2017/2,GENÉTICA HUMANA,3,TARDE
Sistemas de Informação,2017/2,IMUNOLOGIA,1,MANHA
Sistemas de Informação,2016/2,METODOLOGIA CIENTÍFICA,1,MANHA
Sistemas de Informação,2017/1,METODOLOGIA CIENTÍFICA,2,MANHA
Sistemas de Informação,2017/1,NUTRIÇÃO BÁSICA,4,
Sistemas de Informação,2017/1,ORIENTAÇÃO PROFISSIONAL,1,TARDE
Sistemas de Informação,2016/2,PARASITOLOGIA,2,TARDE
Sistemas de Informação,2017/2,PARASITOLOGIA,2,
Sistemas de Informação,2016/2,SAÚDE COLETIVA I,1,MANHA
Sistemas de Informação,2017/2,SAÚDE COLETIVA I,2,MANHA
Sistemas de Informação,2017/1,SAÚDE COLETIVA II,1,TARDE
Sistemas de Informação,2017/2,SAÚDE COLETIVA III,1,MANHA
Sistemas de Informação,2017/2,SEMINÁRIOS EM NUTRIÇÃO III,1,MANHA
Sistemas de Informação,2017/2,TÉCNICA DIETÉTICA I,1,TARDE
Sistemas de Informação,2016/2,TOXICOLOGIA DOS ALIMENTOS,1,MANHA
Sistemas de Informação,2017/2,TOXICOLOGIA DOS ALIMENTOS,2,
Sistemas de Informação,2020/2,TÓPICOS EM FILOSOFIA DA MÚSICA,1,NOITE
Sistemas de Informação,2019/1,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,3,NOITE
Sistemas de Informação,2021/1,LABORATÓRIO DE FÍSICA I,4,
Sistemas de Informação,2022/2,LABORATÓRIO DE FÍSICA II,5,NOITE
Sistemas de Informação,2023/1,QUÍMICA GERAL EXPERIMENTAL,2,TARDE
Sistemas de Informação,2017/2,CÁLCULO III,4,
Sistemas de Informação,2017/2,FÍSICA II,4,
Sistemas de Informação,2019/2,GESTÃO FINANCEIRA,1,NOITE
Sistemas de Informação,2016/2,MECÂNICA DOS SÓLIDOS,1,TARDE
Sistemas de Informação,2019/2,ÁLGEBRA I,2,MANHA
Sistemas de Informação,2019/1,ÁLGEBRA II,2,MANHA
Sistemas de Informação,2019/1,INTRODUÇÃO À ECONOMIA,4,
Sistemas de Informação,2018/1,ESTÁGIO OBRIGATÓRIO,4,NOITE
Sistemas de Informação,2015/2,ESTUDO DE LIBRAS,1,TARDE
Sistemas de Informação,2019/2,INTRODUÇÃO À ECONOMIA,1,TARDE
Sistemas de Informação,2018/2,PSICOPATOLOGIA GERAL I,2,TARDE
Sistemas de Informação,2018/2,TEORIA GERAL DO DIREITO PENAL,1,TARDE
Sistemas de Informação,2017/2,"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE II",3,TARDE
Sistemas de Informação,2020/1,INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS E POLÍTICAS,4,
Sistemas de Informação,2017/1,EVOLUÇÃO DAS IDÉIAS DA FÍSICA I,3,
Sistemas de Informação,2017/1,FÍSICA F I,5,MANHA
Sistemas de Informação,2017/1,INTRODUÇÃO AO LABORATÓRIO DE FÍSICA,1,TARDE
Sistemas de Informação,2020/1,DIREITOS HUMANOS II,1,NOITE
Sistemas de Informação,2019/1,INTRODUÇÃO À MÚSICA I,1,NOITE
Sistemas de Informação,2016/2,FÍSICA II,2,NOITE
Sistemas de Informação,2019/1,MECÂNICA GERAL,1,MANHA
Sistemas de Informação,2019/1,QUÍMICA GERAL,1,MANHA
Sistemas de Informação,2021/2,LABORATÓRIO DE FÍSICA II,5,
Sistemas de Informação,2019/2,MECÂNICA DOS SÓLIDOS,2,TARDE
Sistemas de Informação,2017/1,LABORATÓRIO DE FÍSICA I,1,NOITE
Sistemas de Informação,2022/1,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,4,MANHA
Sistemas de Informação,2018/1,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I,2,MANHA
Sistemas de Informação,2018/1,TÓPICOS EM SMART GRID I,1,MANHA
Sistemas de Informação,2020/1,ENGENHARIA ECONÔMICA,2,MANHA
Sistemas de Informação,2020/1,ELETRICIDADE,1,NOITE
Sistemas de Informação,2017/2,HISTÓRIA DO PENSAMENTO ECONÔMICO,3,
Sistemas de Informação,2019/1,INSTRUMENTO MUSICAL/CANTO I,1,TARDE
Sistemas de Informação,2019/2,INSTRUMENTO MUSICAL/CANTO II,1,TARDE
Sistemas de Informação,2020/1,INSTRUMENTO MUSICAL IV,1,TARDE
Sistemas de Informação,2020/2,INSTRUMENTO MUSICAL VI,1,TARDE
Sistemas de Informação,2017/2,INTRODUÇÃO À CONTABILIDADE,2,MANHA
Sistemas de Informação,2018/1,MÚSICA DE CÂMARA E PRÁTICA EM CONJUNTO I,1,TARDE
Sistemas de Informação,2023/2,CIÊNCIAS DO AMBIENTE,4,TARDE
Sistemas de Informação,2023/2,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,2,MANHA
Sistemas de Informação,2020/1,EDUCAÇÃO EM ASTRONOMIA I,4,TARDE
Sistemas de Informação,2017/2,ADMINISTRAÇÃO MERCADOLÓGICA I,2,MANHA
Sistemas de Informação,2019/1,FUNDAMENTOS EPISTEMOLÓGICOS E HISTÓRICOS: PSICOLOGIA COMPORTAMENTAL,2,TARDE
Sistemas de Informação,2019/1,PSICOLOGIA DA COMUNICAÇÃO,2,TARDE
Sistemas de Informação,2020/1,INTRODUÇÃO À METODOLOGIA DA PESQUISA JURÍDICA,1,MANHA
Sistemas de Informação,2020/1,INTRODUÇÃO AO ESTUDO DO DIREITO,1,MANHA
Sistemas de Informação,2020/1,QUÍMICA GERAL,1,MANHA
Sistemas de Informação,2018/2,BIOESTATÍSTICA,1,MANHA
Sistemas de Informação,2018/1,BIOLOGIA CELULAR,1,MANHA
Sistemas de Informação,2017/2,EMBRIOLOGIA,2,
Sistemas de Informação,2018/1,GENÉTICA HUMANA,1,MANHA
Sistemas de Informação,2018/2,METODOLOGIA CIENTÍFICA,1,TARDE
Sistemas de Informação,2019/1,METODOLOGIA DA PESQUISA BIBLIOGRÁFICA E PRODUÇÃO DE TEXTOS ACADÊMICOS,1,MANHA
Sistemas de Informação,2017/2,PSICOLOGIA,1,TARDE
Sistemas de Informação,2018/2,QUÍMICA DOS ALIMENTOS,3,
Sistemas de Informação,2019/1,SAÚDE E CIDADANIA III,1,MANHA
Sistemas de Informação,2019/2,SAÚDE E CIDADANIA IV,1,MANHA
Sistemas de Informação,2018/2,TOXICOLOGIA DOS ALIMENTOS,1,MANHA
Sistemas de Informação,2021/1,DESENVOLVIMENTO DE PLANO DE NEGÓCIOS E ESTRATÉGIA DE PRODUÇÃO,1,NOITE
Sistemas de Informação,2019/2,ECONOMIA POLÍTICA INTERNACIONAL,2,MANHA
Sistemas de Informação,2022/1,INTRODUÇÃO À CONTABILIDADE,2,MANHA
Sistemas de Informação,2019/2,INTRODUÇÃO À CONTABILIDADE,2,MANHA
Sistemas de Informação,2018/1,INTRODUÇÃO À CONTABILIDADE,2,MANHA
Sistemas de Informação,2022/2,INTRODUÇÃO À ECONOMIA,5,TARDE
Sistemas de Informação,2018/1,INTRODUÇÃO À ECONOMIA,1,MANHA
Sistemas de Informação,2022/1,PSICOLOGIA E TRABALHO,2,TARDE
Sistemas de Informação,2022/2,TEORIAS ADMINISTRATIVAS,4,NOITE
Sistemas de Informação,2022/1,ELETRICIDADE,1,NOITE
Sistemas de Informação,2021/2,TEXTO DRAMÁTICO,1,MANHA
Sistemas de Informação,2021/1,BIOLOGIA CELULAR,1,NOITE
Sistemas de Informação,2019/1,TEORIA MICROECONÔMICA I,4,MANHA
Sistemas de Informação,2019/2,INTRODUÇÃO À PSICOLOGIA,2,NOITE
Sistemas de Informação,2017/2,ESTÁGIO OBRIGATÓRIO,1,MANHA
Sistemas de Informação,2021/2,INTRODUÇÃO À ECONOMIA,2,TARDE
Sistemas de Informação,2018/1,EDUCAÇÃO EM ASTRONOMIA I,1,TARDE
Sistemas de Informação,2018/2,INTRODUÇÃO À ASTRONOMIA,1,TARDE
Sistemas de Informação,2022/2,LITERATURA E ESTUDOS DE GÊNERO,1,TARDE
Sistemas de Informação,2020/1,FUNDAMENTOS DE MATEMÁTICA A,2,NOITE
Sistemas de Informação,2020/1,FUNDAMENTOS DE MATEMÁTICA B,2,NOITE
Sistemas de Informação,2020/1,INTRODUÇÃO AO CÁLCULO,2,NOITE
Sistemas de Informação,2020/2,MATEMÁTICA DISCRETA,3,NOITE
Sistemas de Informação,2019/2,HISTÓRIA DA ARTE - DO SÉCULO XIV AO SÉCULO XVIII,1,TARDE
Sistemas de Informação,2019/1,INTRODUÇÃO À PSICOLOGIA,2,MANHA
Sistemas de Informação,2019/2,TEORIA DA COR,1,MANHA
Sistemas de Informação,2023/2,CIRCUITOS DIGITAIS I,1,TARDE
Sistemas de Informação,2023/1,CIRCUITOS DIGITAIS II,1,MANHA
Sistemas de Informação,2023/1,CIRCUITOS ELÉTRICOS I,1,MANHA
Sistemas de Informação,2023/2,ELETRÔNICA II,1,TARDE
Sistemas de Informação,2023/2,EMPREENDEDORISMO E INOVAÇÃO TECNOLÓGICA,2,TARDE
Sistemas de Informação,2023/2,"LEGISLAÇÃO, ÉTICA PROFISSIONAL E CIDADANIA",1,MANHA
Sistemas de Informação,2023/1,MECÂNICA QUÂNTICA 1,2,TARDE
Sistemas de Informação,2023/2,MEDIDAS ELÉTRICAS,1,TARDE
Sistemas de Informação,2023/2,ONDAS E ANTENAS,1,MANHA
Sistemas de Informação,2023/1,PRINCÍPIOS DE COMUNICAÇÃO,2,MANHA
Sistemas de Informação,2023/2,PROCESSAMENTO DE SINAIS,1,MANHA
Sistemas de Informação,2022/1,QUÍMICA GERAL,2,TARDE
Sistemas de Informação,2024/1,SISTEMAS DE CONTROLE MODERNO,1,MANHA
Sistemas de Informação,2023/2,TRANSMISSÃO DE ENERGIA ELÉTRICA,2,MANHA
Sistemas de Informação,2020/2,INTRODUÇÃO À ASTRONOMIA,1,TARDE
Sistemas de Informação,2020/1,INTRODUÇÃO À FÍSICA MATEMÁTICA,2,TARDE
Sistemas de Informação,2020/2,INTRODUÇÃO À PESQUISA EM ENSINO DE FÍSICA,1,TARDE
Sistemas de Informação,2019/2,MATEMÁTICA FINANCEIRA,2,NOITE
Sistemas de Informação,2020/2,CIÊNCIAS DO AMBIENTE,5,
Sistemas de Informação,2023/2,GESTÃO DA QUALIDADE,3,NOITE
Sistemas de Informação,2022/2,TEORIA DA COR,4,MANHA
Sistemas de Informação,2021/2,TEORIA DA COR,1,MANHA
Sistemas de Informação,2022/1,ANÁLISE DE INVESTIMENTOS,2,MANHA
Sistemas de Informação,2020/2,ASPECTOS DA CULTURA EM MATO GROSSO DO SUL,2,MANHA
Sistemas de Informação,2022/2,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,2,NOITE
Sistemas de Informação,2019/2,ELETRICIDADE,1,NOITE
Sistemas de Informação,2018/2,ELETRICIDADE,1,NOITE
Sistemas de Informação,2022/2,ELETRICIDADE,2,TARDE
Sistemas de Informação,2020/2,ELETRICIDADE,2,NOITE
Sistemas de Informação,2020/2,FOTOGRAFIA,3,TARDE
Sistemas de Informação,2020/1,FUNDAMENTOS DA COMPOSIÇÃO,1,MANHA
Sistemas de Informação,2020/1,HISTÓRIA DA ARTE - DA PRÉ-HISTÓRIA AO SÉCULO XIII,1,TARDE
Sistemas de Informação,2022/2,INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS E POLÍTICAS,4,MANHA
Sistemas de Informação,2020/2,TEORIA DA COR,1,TARDE
Sistemas de Informação,2021/1,ANÁLISE REAL I,2,MANHA
Sistemas de Informação,2021/2,ANÁLISE REAL II,2,MANHA
Sistemas de Informação,2021/1,EDUCAÇÃO EM ASTRONOMIA I,1,TARDE
Sistemas de Informação,2023/2,FUNDAMENTOS DA ESTATÍSTICA,2,MANHA
Sistemas de Informação,2022/2,FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE,2,MANHA
Sistemas de Informação,2023/2,LABORATÓRIO DE ONDAS E ELETRICIDADE E MAGNETISMO,3,TARDE
Sistemas de Informação,2021/1,GESTÃO DA CADEIA DE SUPRIMENTOS,4,TARDE
Sistemas de Informação,2021/2,INTRODUÇÃO À ASTRONOMIA,1,TARDE
Sistemas de Informação,2023/1,INTRODUÇÃO À SOCIOLOGIA COMPUTACIONAL,4,TARDE
Sistemas de Informação,2023/1,EDUCAÇÃO AMBIENTAL,2,NOITE
Sistemas de Informação,2024/1,ERGONOMIA,2,TARDE
Sistemas de Informação,2021/1,ESTRATÉGIA EMPRESARIAL,2,MANHA
Sistemas de Informação,2023/1,ESTUDO DE LIBRAS,2,NOITE
Sistemas de Informação,2023/2,GESTÃO ESTRATÉGICA,4,
Sistemas de Informação,2023/2,MATEMÁTICA,1,MANHA
Sistemas de Informação,2021/1,ELETRICIDADE,1,MANHA
Sistemas de Informação,2022/2,ESTUDO DE LIBRAS,2,TARDE
Sistemas de Informação,2023/1,ÉTICA E BIOÉTICA,1,MANHA
Sistemas de Informação,2023/1,"LABORATÓRIO DE MECÂNICA, FLUIDOS E TERMODINÂMICA",4,
Sistemas de Informação,2024/1,QUÍMICA GERAL,1,MANHA
Sistemas de Informação,2022/2,ANIMAÇÃO,1,MANHA
Sistemas de Informação,2024/1,INTRODUÇÃO À ECONOMIA,3,TARDE
Sistemas de Informação,2023/2,METODOLOGIA E REDAÇÃO CIENTÍFICA,4,TARDE
Sistemas de Informação,2024/1,DIREITO DIGITAL E TECNOLÓGICO,1,NOITE
Sistemas de Informação,2022/2,FÍSICA COMPUTACIONAL I,2,TARDE
