INTRODUÇÃO A ENGENHARIA DA COMPUTAÇÃO, FACOM
LABORATÓRIO DE FÍSICA I, INFI
LABORATÓRIO DE FÍSICA II, INFI 
MECÂNICA DOS SÓLIDOS ELEMENTAR, INFI
ADMINISTRAÇÃO E ORGANIZAÇÃO DE EMPRESAS, ESAN
ANÁLISE DE SINAIS E SISTEMAS, FACOM
CONTROLE E SERVOMECANISMO, FACOM
CONTROLE E SERVOMECANISMOS, FACOM
FUNDAMENTOS DE ECONOMIA, ESAN
FUNDAMENTOS DE FENÔMENOS DE TRANSPORTES, FAENG
MECÂNICA GERAL, INFI
QUÍMICA GERAL, INQUI
SISTEMAS DE INTEGRAÇÃO E AUTOMAÇÃO INDUSTRIAL, FACOM
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO III, FACOM
TÓPICOS EM COMPUTAÇÃO III, FACOM
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO I, FACOM
TÓPICOS EM ENGENHARIA DE SOFTWARE, FACOM
INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO, FACOM
MECÂNICA DOS SÓLIDOS, INFI
TÓPICOS ESPECIAIS EM GESTÃO DA INOVAÇÃO TECNOLÓGICA, ESAN
MANUTENÇÃO DE SOFTWARE, FACOM
CIÊNCIAS DO AMBIENTE, FAENG
CONSTRUÇÃO DE SOFTWARE, FACOM
PROGRAMAÇÃO PARALELA, FACOM
TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I, FACOM
GERENCIAMENTO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO, FACOM
ORGANIZAÇÃO DE COMPUTADORES, FACOM
TÓPICOS EM PROCESSAMENTO DE IMAGENS, FACOM
EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS, FACH
GESTÃO ORGANIZACIONAL, ESAN
MEDIÇÃO DE SOFTWARE, FACOM
FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO, FACOM
ARQUITETURA DE SOFTWARE, FACOM
ENGENHARIA DE SOFTWARE EXPERIMENTAL, FACOM
GERÊNCIA DE CONFIGURAÇÃO DE SOFTWARE, FACOM
IMPLEMENTAÇÃO ALGORÍTMICA, FACOM
INTRODUÇÃO À ENGENHARIA DE SOFTWARE, FACOM
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE", FACOM
PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE I, FACOM
PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE II, FACOM
MELHORIA DE PROCESSOS DE SOFTWARE, FACOM
COMPORTAMENTO HUMANO E ORGANIZACIONAL, ESAN
GESTÃO ESTRATÉGICA, ESAN
METODOLOGIA CIENTÍFICA PARA COMPUTAÇÃO, FACOM
FUNDAMENTOS DE FENÔMENOS DOS TRANSPORTES,
QUÍMICA GERAL EXPERIMENTAL, INQUI
ÁLGEBRA I, INMA
ÁLGEBRA II, INMA
EMPREENDEDORISMO E INOVAÇÃO, ESAN
INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS E POLÍTICAS, FACH
RELAÇÕES ÉTNICO-RACIAIS, FACH
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE II", FACOM
TÓPICOS EM COMPUTAÇÃO V, FACOM
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO II, FACOM
TÓPICOS EM TESTES DE SOFTWARE, FACOM
EVOLUÇÃO DAS IDÉIAS DA FÍSICA I,
INTRODUÇÃO AO LABORATÓRIO DE FÍSICA, INFI
EQUAÇÕES DIFERENCIAIS ORDINÁRIAS, INFI
INTRODUÇÃO A GESTÃO ORGANIZACIONAL, ESAN
INTRODUÇÃO À ASTRONOMIA, INFI
INTRODUÇÃO À SOCIOLOGIA COMPUTACIONAL, FACOM
MATEMÁTICA ELEMENTAR, INMA
SEQUÊNCIAS E SÉRIES, INMA
FUNDAMENTOS DE ELETROMAGNETISMO, INFI
"LABORATÓRIO DE MECÂNICA, FLUIDOS E TERMODINÂMICA", INFI
TECNOLOGIA DA INFORMAÇÃO E CIÊNCIAS SOCIAIS, FACH
EMPREENDEDORISMO E INOVAÇÃO TECNOLÓGICA, ESAN
FUNDAMENTOS DE MECÂNICA, FAENG
GESTÃO DE PESSOAS, ESAN
"FUNDAMENTOS DE FLUIDOS, ONDAS E TERMODINÂMICA", INFI
LABORATÓRIO DE ONDAS E ELETRICIDADE E MAGNETISMO, INFI
