ID disciplina horario carga    turma  curso  turno  semestre  entrada   num.t  num.a  num.r  num.d   media.t media.a  media.r  media.d  media.freq.t media.freq.a media.freq.r 	media.freq.d
41	5	0.00	2	1075	2	1	5	2	24.00	0.38	0.58	0.04	5.8	7.4	5.1	0.0	15.4	10.0	13.2	95.0
42	1	3.50	2	1075	2	1	5	2	20.00	0.65	0.25	0.10	5.6	7.7	2.4	0.1	19.9	6.9	28.5	82.5
43	2	3.00	1	1075	2	1	5	2	18.00	0.94	0.06	0.00	8.1	8.3	4.0	NaN	0.0	0.0	0.0	NaN
44	3	3.50	2	2075	2	2	4	1	29.00	0.66	0.31	0.03	6.6	7.8	4.8	0.0	17.5	6.1	32.8	97.5
44	3	5.50	2	2075	2	2	4	1	29.00	0.66	0.31	0.03	6.6	7.8	4.8	0.0	17.5	6.1	32.8	97.5
45	4	3.50	2	2075	2	2	4	1	24.00	0.92	0.08	0.00	8.7	9.2	3.4	NaN	9.6	7.8	28.8	NaN
46	1	3.67	3	2075	2	2	4	1	33.00	0.45	0.36	0.18	4.8	8.4	2.6	0.2	31.6	7.8	31.5	91.1
46	1	3.67	3	2075	2	2	4	1	33.00	0.45	0.36	0.18	4.8	8.4	2.6	0.2	31.6	7.8	31.5	91.1
47	2	5.50	2	2075	2	2	4	1	33.00	0.85	0.12	0.03	7.1	7.8	3.6	0.0	14.8	7.7	43.8	100.0
47	2	1.50	2	2075	2	2	4	1	33.00	0.85	0.12	0.03	7.1	7.8	3.6	0.0	14.8	7.7	43.8	100.0
48	2	1.50	2	2075	2	2	4	1	32.00	0.81	0.16	0.03	7.1	8.3	2.0	0.0	10.2	3.9	24.5	100.0
48	2	1.50	2	2075	2	2	4	1	32.00	0.81	0.16	0.03	7.1	8.3	2.0	0.0	10.2	3.9	24.5	100.0
49	3	4.50	2	2075	2	2	4	1	18.00	0.89	0.11	0.00	7.9	8.4	3.6	NaN	12.6	7.8	51.2	NaN
49	3	4.50	2	2075	2	2	4	1	18.00	0.89	0.11	0.00	7.9	8.4	3.6	NaN	12.6	7.8	51.2	NaN
